,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ
137,-9,296,297,356.2099914550781,345.79998779296875,368.85239501953123,347.15519531250004,81.05385333251954,12.636179626464845,0.025282793631994566,2025-02-10 00:00:00-05:00,2025-02-11 00:00:00-05:00,1 days 00:00:00,,350.5044998168945,344.0255096435547
138,-10,298,298,329.94000244140625,335.07,335.07,315.36,-64.60017563476555,13.300200048828124,-0.019579370539114162,2025-02-12 00:00:00-05:00,2025-02-12 00:00:00-05:00,0 days 00:00:00,,315.1515060424805,315.1515060424805
139,9,300,300,360.6199951171875,348.82120239257813,348.82120239257813,370.1776025390625,-118.95907607666011,12.76994155517578,-0.036652640725963276,2025-02-14 00:00:00-05:00,2025-02-14 00:00:00-05:00,0 days 00:00:00,,347.2280044555664,347.2280044555664
140,16,303,303,361.510009765625,356.6069900512695,356.6069900512695,368.4660125732422,-101.4280594238283,22.979743994140627,-0.01753548599691372,2025-02-20 00:00:00-05:00,2025-02-20 00:00:00-05:00,0 days 00:00:00,,353.0415069580078,353.0415069580078
141,-9,305,306,338.1400146484375,324.28798828125,344.5559875488281,324.28798828125,112.74453325195292,11.923704052734376,0.03704728756918203,2025-02-24 00:00:00-05:00,2025-02-25 00:00:00-05:00,1 days 00:00:00,,326.4919891357422,320.79500885009764
142,-10,307,307,303.7099914550781,308.8559875488281,308.8559875488281,290.68798828125,-63.711280517578125,12.251319580078125,-0.020977670247968087,2025-02-26 00:00:00-05:00,2025-02-26 00:00:00-05:00,0 days 00:00:00,,285.3979797363281,285.3979797363281
143,10,310,310,300.3399963378906,287.12041076660154,287.12041076660154,304.6992114257813,-143.94506385498073,11.749208142089843,-0.04792737084974807,2025-03-03 00:00:00-05:00,2025-03-03 00:00:00-05:00,0 days 00:00:00,,281.82601165771484,281.82601165771484
144,-12,314,314,259.32000732421875,252.91201171875002,268.71901245117186,252.91201171875002,64.60237880859347,12.29356845703125,0.020760185929857462,2025-03-07 00:00:00-05:00,2025-03-07 00:00:00-05:00,0 days 00:00:00,,256.5035095214844,256.5035095214844
145,-13,316,316,225.30999755859375,226.59299377441405,226.59299377441405,213.26399414062502,-28.428428580322162,11.749477774658203,-0.009705748622706482,2025-03-11 00:00:00-04:00,2025-03-11 00:00:00-04:00,0 days 00:00:00,,203.79649658203124,203.79649658203124
146,12,318,318,248.1300048828125,243.12819641113282,243.12819641113282,258.01359619140624,-71.81189849121085,11.790196831054688,-0.024117699417665645,2025-03-13 00:00:00-04:00,2025-03-13 00:00:00-04:00,0 days 00:00:00,,242.18300170898436,242.18300170898436
147,-13,319,319,247.30999755859375,247.30999755859375,,231.76697998046876,-12.860119873046875,12.860119873046875,-0.004,2025-03-14 00:00:00-04:00,2025-03-14 00:00:00-04:00,0 days 00:00:00,,232.0504997253418,232.0504997253418
148,12,320,320,245.05999755859375,244.99473915100097,244.99473915100097,259.95050888061525,-12.544414572143623,11.761313681030273,-0.004265763043444159,2025-03-17 00:00:00-04:00,2025-03-17 00:00:00-04:00,0 days 00:00:00,,244.01249237060546,244.01249237060546
149,-13,321,321,228.16000366210938,228.16000366210938,242.77019439697267,228.48959472656247,-11.864320190429687,11.864320190429687,-0.004,2025-03-18 00:00:00-04:00,2025-03-18 00:00:00-04:00,0 days 00:00:00,,231.07999954223632,231.07999954223632
150,-13,322,322,231.61000061035156,231.61000061035156,,216.29759765625,-12.043720031738282,12.043720031738282,-0.004,2025-03-19 00:00:00-04:00,2025-03-19 00:00:00-04:00,0 days 00:00:00,,221.00899353027344,221.00899353027344
151,13,323,323,233.35000610351562,231.14280059814453,231.14280059814453,245.29440063476562,-40.77048454406737,12.076812974243165,-0.013439858738993057,2025-03-20 00:00:00-04:00,2025-03-20 00:00:00-04:00,0 days 00:00:00,,229.1444969177246,229.1444969177246
